Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8659689, -0.5859289;"{""coordinates"": [-0.5859289, 44.8659689], ""type"": ""Point""}";3958;;COMPTAGE_ROUTIER;33069;2;OUEST;763;760;3;55;88;46.4;43.6;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8657829, -0.59188;"{""coordinates"": [-0.59188, 44.8657829], ""type"": ""Point""}";3959;;COMPTAGE_ROUTIER;33069;2;OUEST;38;38;0;3;4;42.8;;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8657429, -0.5918799;"{""coordinates"": [-0.5918799, 44.8657429], ""type"": ""Point""}";3960;;COMPTAGE_ROUTIER;33069;1;EST;1479;1475;4;215;140;46.5;36.4;2022;du lundi 05/09/2022 au dimanche 11/09/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8807939, -0.6147509;"{""coordinates"": [-0.6147509, 44.8807939], ""type"": ""Point""}";3972;;COMPTAGE_ROUTIER;33069;2;SUD;3645;3644;1;345;429;37.4;34.8;2022;du vendredi 08/04/2022 au jeudi 14/04/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.7971879, -0.689082;"{""coordinates"": [-0.689082, 44.7971879], ""type"": ""Point""}";3973;;COMPTAGE_ROUTIER;33069;1;NORD;3855;3820;35;448;322;59.0;48.9;2022;du vendredi 08/04/2022 au jeudi 14/04/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8638509, -0.509988;"{""coordinates"": [-0.509988, 44.8638509], ""type"": ""Point""}";3975;;COMPTAGE_ROUTIER;33069;1;NORD;466;466;0;27;97;39.7;;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8635619, -0.5140599;"{""coordinates"": [-0.5140599, 44.8635619], ""type"": ""Point""}";3977;;COMPTAGE_ROUTIER;33069;1;NORD;6574;6521;53;524;612;30.8;25.5;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8635619, -0.5141;"{""coordinates"": [-0.5141, 44.8635619], ""type"": ""Point""}";3978;;COMPTAGE_ROUTIER;33069;2;SUD;6566;6513;53;364;616;35.8;35.0;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8635519, -0.5087989;"{""coordinates"": [-0.5087989, 44.8635519], ""type"": ""Point""}";3980;;COMPTAGE_ROUTIER;33069;2;OUEST;490;458;32;50;52;38.2;30.5;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8586159, -0.524132;"{""coordinates"": [-0.524132, 44.8586159], ""type"": ""Point""}";3983;;COMPTAGE_ROUTIER;33069;2;SUD;3789;3732;57;308;382;42.2;39.2;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8592789, -0.5199249;"{""coordinates"": [-0.5199249, 44.8592789], ""type"": ""Point""}";3987;;COMPTAGE_ROUTIER;33069;1;NORD;3665;3651;14;172;338;39.3;35.5;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8579129, -0.5175709;"{""coordinates"": [-0.5175709, 44.8579129], ""type"": ""Point""}";3989;;COMPTAGE_ROUTIER;33069;2;SUD_OUEST;1645;1642;4;159;94;46.9;35.8;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8557859, -0.522099;"{""coordinates"": [-0.522099, 44.8557859], ""type"": ""Point""}";3993;;COMPTAGE_ROUTIER;33069;2;EST;5335;5284;51;360;566;39.6;39.8;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8559959, -0.534483;"{""coordinates"": [-0.534483, 44.8559959], ""type"": ""Point""}";3994;;COMPTAGE_ROUTIER;33069;2;SUD_OUEST;8138;7998;139;549;461;35.6;29.6;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8558669, -0.534114;"{""coordinates"": [-0.534114, 44.8558669], ""type"": ""Point""}";3995;;COMPTAGE_ROUTIER;33069;1;NORD_EST;7552;7405;148;512;566;45.2;36.3;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8551549, -0.533354;"{""coordinates"": [-0.533354, 44.8551549], ""type"": ""Point""}";3996;;COMPTAGE_ROUTIER;33069;1;EST;2014;1977;37;139;181;33.8;28.7;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
44.8551949, -0.533354;"{""coordinates"": [-0.533354, 44.8551949], ""type"": ""Point""}";3997;;COMPTAGE_ROUTIER;33069;2;OUEST;2279;2239;40;212;195;33.1;29.5;2022;du jeudi 01/12/2022 au mercredi 07/12/2022;;2023-12-15T17:00:25+01:00;2024-02-14T15:12:17+01:00
